,Date,User,Tweet
41,2023-02-27 01:26:17+00:00,ZidanneMaulana,"Emyu juara Piala Kerbau kapan Ferrari Tsunami trofi sama Fred Vasseur dan kapan Leclerc dan Sainz mau Jurdun?
Kita tunggu musim 2023"
42,2023-02-27 01:19:42+00:00,efand_aipenawi,"#GGMU 
Benar2 bakal tsunami tropi nih 🤣"
43,2023-02-27 01:17:01+00:00,TriputraF,Getaran hentakan gelombang tsunami trofi mulai terasa.
44,2023-02-27 01:16:45+00:00,0xaliehs,gua kira tsunami beneran anjir😔
45,2023-02-27 01:12:15+00:00,aasolaruna_88,"Terlalu banyak Purel bisa mengakibatkan Tsunami dan Hujan yang sangat dahsyat
Sadarlah wahai umat #Shibarium"
46,2023-02-27 01:11:25+00:00,jibots,Dah siap banget kena tsunami trofi
47,2023-02-27 01:11:15+00:00,Charliz0ne,Ini tsunami tranding bikin panik orang doang
48,2023-02-27 01:10:32+00:00,aasolaruna_88,"Jika ada Tsunami di sertai Hujan 
Maka #Shibarium 

akan booming"
49,2023-02-27 01:07:29+00:00,Isnabassae,gw kira beneran Tsunami njir sampe ngucap inalillahi:')
50,2023-02-27 01:06:24+00:00,riojasman3,Tagar ternd nya #tsunami dikira ada bencana....udah nyiapin doa..taunya malah bahas bola ajg..tsunami tropi apaan jnck
51,2023-02-27 00:59:16+00:00,ambhk26,"Bangun2 baca berita tsunami.
.
.
.
.
.
.
.
.
.
.
Tsunami tropi"
52,2023-02-27 00:59:13+00:00,henddr,"liat trending topic tsunami, dikira apaan. 
tokai."
53,2023-02-27 00:47:53+00:00,mega_yona,"Ke gocek kirain trending tsunami beneran, trnyata tsunami trophy"
54,2023-02-27 00:47:34+00:00,ichoooooon,oooo jadi ujan belakangan ini di Jakarta sebagai tanda bakalan Tsunami trophy di Manchester merah. 🤛🏻
55,2023-02-27 00:43:55+00:00,takutketauanorg,"Agak sebel ya, trending tsunami kirain beneran taunya tsunami yg lain :)"
56,2023-02-27 00:38:33+00:00,17Mutawakkil,"Alhamdulillah akhirnya berbuka Puasa setelah sekian lamanya berpuasa gelar. Rasa syukur dan sombong sudah menjadi bagian kisah dalam perjalanannya. 
#MUFC #GGMU #Tsunami"
57,2023-02-27 00:37:10+00:00,muamarmusa,"Tinggal di daerah rawan tsunami terus liat trending Indonesia ""tsunami"", auto deg-degan

Ternyata maksudnya tsunami trofi 😡😡😡😠💢"
58,2023-02-27 00:35:41+00:00,ieradhan,"Teori tsunami trofi MU is riiiil cuy, baru angkat satu piala langsung banjir dimana mana😓"
59,2023-02-27 00:34:15+00:00,FRPrayogo,lariii ada tsunami tropi 😱
60,2023-02-27 00:33:02+00:00,j_soekop,"Kata anakku yg fans MU ; Yah, MU kan dapat piala tuh tadi malam, itu baru awal dari Tsunami tropi."
61,2023-02-27 00:31:15+00:00,Dino_Alpian,Anjirr tsunami tropi telah dimulai ceunah wkwkwk
62,2023-02-27 00:29:05+00:00,happiestmomentt,"Dari korban tsunami sampai korban gempa bumi, cuma korban janji yang gak bisa dievakuasi
😌"
63,2023-02-27 00:28:35+00:00,GenzotC,Fans Mu emang gokil kirain tsunami dimana gak taunya tsunami tropi
